Giá bán,Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất
"10,2 tỷ",Tp Hồ Chí Minh,Phường 12,75,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,18.6,6,,,
"4,35 tỷ",Tp Hồ Chí Minh,Phường Thạnh Lộc,57,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Nam,4,,3,3,3,Nội thất cao cấp
"11,8 tỷ",Bình Dương,Phường Hòa Lợi,1197,"Nhà mặt phố, mặt tiền",Đã có sổ,Bắc,9,133,10,1,,Hoàn thiện cơ bản
"4,6 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),66,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"1,44 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,30,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Đông Nam,4.5,7,2,3,2,Hoàn thiện cơ bản
"3,99 tỷ",Tp Hồ Chí Minh,Phường 14,24,"Nhà ngõ, hẻm",Đã có sổ,,3.5,6,2,2,2,Hoàn thiện cơ bản
"4,8 tỷ",Bình Dương,Phường Thuận Giao,60,Nhà phố liền kề,Đã có sổ,Bắc,4,15,4,4,3,Hoàn thiện cơ bản
12 tỷ,Đà Nẵng,Phường Hòa Cường Nam,76.5,"Nhà mặt phố, mặt tiền",Đã có sổ,Bắc,4.5,17,3,3,2,Hoàn thiện cơ bản
"7,7 tỷ",Tp Hồ Chí Minh,Phường Thới An,65,"Nhà ngõ, hẻm",Đã có sổ,,4,21,4,,,Nội thất cao cấp
"7,5 tỷ",Tp Hồ Chí Minh,Phường 7,38,"Nhà ngõ, hẻm",Đã có sổ,Đông,6.1,,5,4,4,
"4,7 tỷ",Tp Hồ Chí Minh,Phường Tân Thuận Tây,46,"Nhà ngõ, hẻm",Đã có sổ,,4,12,2,,,
9 tỷ,Tp Hồ Chí Minh,Phường Tân Sơn Nhì,64,"Nhà ngõ, hẻm",Đã có sổ,,4,16,5,4,4,Nội thất cao cấp
"4,5 tỷ",Tp Hồ Chí Minh,Phường 7,25,"Nhà ngõ, hẻm",Đã có sổ,,,,2,3,,
5 tỷ,Tp Hồ Chí Minh,Phường Bình Hưng Hòa,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,3,3,3,
"3,5 tỷ",Tp Hồ Chí Minh,Phường Tân Sơn Nhì,42,"Nhà ngõ, hẻm",Đã có sổ,,4,11,2,2,2,
"4,1 tỷ",Tp Hồ Chí Minh,Phường 16,35,"Nhà mặt phố, mặt tiền",Đã có sổ,,3,12,2,1,1,Hoàn thiện cơ bản
"1,89 tỷ",Tp Hồ Chí Minh,Phường Tăng Nhơn Phú A (Quận 9 cũ),56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,2,,,
"8,3 tỷ",Tp Hồ Chí Minh,Phường 9,65,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"6,7 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,80,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,20,4,4,3,Nội thất cao cấp
"14,5 tỷ",Tp Hồ Chí Minh,Phường Tân Quy,80,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,20,4,4,4,Nội thất đầy đủ
"6,9 tỷ",Tp Hồ Chí Minh,Phường 5,64,"Nhà ngõ, hẻm",Đã có sổ,,3.8,17,4,3,3,
"4,68 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,3,2,2,
"4,299 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,40,"Nhà ngõ, hẻm",Đã có sổ,,4,10,2,2,2,Nội thất đầy đủ
"2,6 tỷ",Hải Phòng,Phường Vạn Sơn,56,"Nhà ngõ, hẻm",Đã có sổ,,,,3,3,3,
"6,9 tỷ",Tp Hồ Chí Minh,Thị trấn Nhà Bè,50,"Nhà ngõ, hẻm",Đã có sổ,,4,12.5,4,5,4,Nội thất cao cấp
"7,49 tỷ",Tp Hồ Chí Minh,Phường 9,44,"Nhà ngõ, hẻm",Đã có sổ,,4,11,3,4,4,Nội thất cao cấp
"5,05 tỷ",Tp Hồ Chí Minh,Phường Thới An,51,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4,12.75,4,3,3,
"3,15 tỷ",Đà Nẵng,Phường Hòa Khánh Bắc,224,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,3.5,55,3,1,1,Hoàn thiện cơ bản
"8,49 tỷ",Tp Hồ Chí Minh,Phường Tam Bình (Quận Thủ Đức cũ),120,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.7,24.7,4,2,,
550 triệu,Tp Hồ Chí Minh,Phường Bình Chiểu (Quận Thủ Đức cũ),13.5,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tây Bắc,3,4.5,1,1,2,Hoàn thiện cơ bản
"1,79 tỷ",Long An,Thị trấn Cần Giuộc,80,"Nhà ngõ, hẻm",Đã có sổ,,5,16,3,2,1,Nội thất cao cấp
"3,85 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,52.2,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4,14,1,1,,
"4,95 tỷ",Tp Hồ Chí Minh,Phường 14,39,"Nhà ngõ, hẻm",Đã có sổ,,4,8.3,3,4,,
"8,6 tỷ",Tp Hồ Chí Minh,Phường 13,80,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,20,1,,1,Nội thất đầy đủ
"2,95 tỷ",Bình Dương,Phường Tương Bình Hiệp,115,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,30,3,4,3,Nội thất đầy đủ
"7,1 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Nhất,108,"Nhà ngõ, hẻm",Đã có sổ,,4,27,4,3,3,
"6,1 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,98,"Nhà ngõ, hẻm",Đã có sổ,,5.5,18,3,2,,
"5,2 tỷ",Bình Dương,Phường Tân Bình,150,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Bắc,6,25,2,2,2,
"2,75 tỷ",Bình Dương,Phường Bình An,66,"Nhà ngõ, hẻm",Đã có sổ,,4.1,,3,,,
3 tỷ,Tp Hồ Chí Minh,Phường Tân Phú (Quận 9 cũ),32,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,1,
"12,8 tỷ",Tp Hồ Chí Minh,Phường Phú Thạnh,84,"Nhà ngõ, hẻm",Đã có sổ,,4,22,6,5,,
"9,999 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,90,"Nhà ngõ, hẻm",Đã có sổ,,,,4,5,4,
"2,59 tỷ",Tp Hồ Chí Minh,Phường 1,21,"Nhà ngõ, hẻm",Đã có sổ,,,,3,1,3,
"5,5 tỷ",Bình Dương,Phường Lái Thiêu,100,Nhà phố liền kề,Đã có sổ,Đông,5,20,4,5,,Bàn giao thô
"4,03 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,36,"Nhà ngõ, hẻm",Đã có sổ,,4,9,3,3,3,Nội thất đầy đủ
"14,6 tỷ",Hà Nội,Phường Láng Thượng,45,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,5,
"5,95 tỷ",Tp Hồ Chí Minh,Phường 8,50,"Nhà ngõ, hẻm",Đã có sổ,,5.2,9.5,4,,4,Nội thất cao cấp
"7,3 tỷ",Hà Nội,Phường Trung Văn,30,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"8,04 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,107,Nhà phố liền kề,Đã có sổ,Đông Nam,4.5,25,6,Nhiều hơn 6,4,Nội thất cao cấp
"6,5 tỷ",Tp Hồ Chí Minh,Xã Tân Xuân,101.3,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Bắc,4,25.2,4,2,1,Hoàn thiện cơ bản
"8,999 tỷ",Tp Hồ Chí Minh,Phường 14,65,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,4,17,nhiều hơn 10,Nhiều hơn 6,5,Nội thất đầy đủ
13 tỷ,Hà Nội,Phường Văn Quán,40,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,6,,4,
"5,5 tỷ",Bình Dương,Phường Thuận Giao,70,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,5,14,4,4,3,Nội thất cao cấp
"7,15 tỷ",Tp Hồ Chí Minh,Phường Linh Đông (Quận Thủ Đức cũ),61,"Nhà ngõ, hẻm",Đã có sổ,,5.5,11.3,4,,,
"1,35 tỷ",Tp Hồ Chí Minh,Xã An Phú Tây,64,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,16,4,,3,Hoàn thiện cơ bản
"2,9 tỷ",Tp Hồ Chí Minh,Phường Linh Đông (Quận Thủ Đức cũ),60,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,,
"6,5 tỷ",Tp Hồ Chí Minh,Phường 2,35,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,3.4,10,3,3,4,
"4,7 tỷ",Tp Hồ Chí Minh,Phường 10,43,"Nhà ngõ, hẻm",Đã có sổ,Tây,4.3,10,2,2,1,Nội thất đầy đủ
"2,2 tỷ",Tp Hồ Chí Minh,Phường An Phú Đông,58,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4.5,13,1,1,,
"3,7 tỷ",Tp Hồ Chí Minh,Phường 14,40,"Nhà ngõ, hẻm",Đã có sổ,,3.5,12,2,2,2,Nội thất đầy đủ
"7,9 tỷ",Tp Hồ Chí Minh,Phường Tân Quý,93,"Nhà ngõ, hẻm",Đã có sổ,Tây,4,25,3,2,2,Nội thất đầy đủ
"2,98 tỷ",Tp Hồ Chí Minh,Phường 3,16.8,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,5,Hoàn thiện cơ bản
18 tỷ,Hà Nội,Phường Trần Phú,40,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,4,10,4,4,5,Hoàn thiện cơ bản
"4,28 tỷ",Tp Hồ Chí Minh,Xã Thới Tam Thôn,80,Nhà phố liền kề,Đã có sổ,,4,16,2,2,2,Nội thất cao cấp
15 tỷ,Tp Hồ Chí Minh,Phường 10,61.5,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông,3.8,16.2,4,4,4,Hoàn thiện cơ bản
"7,5 tỷ",Tp Hồ Chí Minh,Phường Tân Quy,40,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông,5,8,2,2,1,Hoàn thiện cơ bản
"4,19 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,48,"Nhà ngõ, hẻm",Đã có sổ,,4,12,3,2,,Nội thất đầy đủ
"8,25 tỷ",Tp Hồ Chí Minh,Phường 13,101,"Nhà ngõ, hẻm",Đã có sổ,,,,6,6,2,Nội thất đầy đủ
24 tỷ,Đồng Nai,Thị trấn Long Thành,1129,Nhà biệt thự,Đã có sổ,,30,38,7,3,,
5 tỷ,Tp Hồ Chí Minh,Phường Bình Hưng Hòa,62.3,"Nhà mặt phố, mặt tiền",Đã có sổ,,5.35,11.5,2,,,
"7,49 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,61,"Nhà ngõ, hẻm",Đã có sổ,,4.4,15,4,4,3,Nội thất cao cấp
"4,65 tỷ",Tp Hồ Chí Minh,Phường Tân Quý,50,"Nhà ngõ, hẻm",Đã có sổ,,4,12.5,1,1,2,
"9,3 tỷ",Hà Nội,Phường Ngọc Lâm,20,"Nhà mặt phố, mặt tiền",Đã có sổ,,2.8,,3,4,4,Nội thất đầy đủ
"6,26 tỷ",Hà Nội,Phường Mỹ Đình 1,40,"Nhà ngõ, hẻm",Đã có sổ,,4,10,4,3,4,Nội thất đầy đủ
"4,75 tỷ",Tp Hồ Chí Minh,Phường 15,39,"Nhà ngõ, hẻm",Đã có sổ,,3.6,11,2,2,2,
"10,9 tỷ",Đắk Lắk,Phường Tân Lợi,100,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,5.3,19.8,1,1,1,
6 tỷ,Tp Hồ Chí Minh,Phường Bình Hưng Hòa,56,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,14,2,2,2,Nội thất cao cấp
4 tỷ,Tp Hồ Chí Minh,Phường Hiệp Tân,60,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4,1,5,5,4,Nội thất cao cấp
"5,5 tỷ",Tp Hồ Chí Minh,Phường 15,57,"Nhà ngõ, hẻm",Đã có sổ,,4.1,11.2,2,2,2,
"6,75 tỷ",Tp Hồ Chí Minh,Phường 16,56,"Nhà ngõ, hẻm",Đã có sổ,,4.2,14,4,4,4,Nội thất cao cấp
"1,7 tỷ",Tp Hồ Chí Minh,Phường 14,21,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"4,65 tỷ",Đà Nẵng,Phường Hòa Xuân,100,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,20,3,2,2,Nội thất đầy đủ
"1,27 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,28,"Nhà ngõ, hẻm",Đã có sổ,,3.5,8,2,2,1,Hoàn thiện cơ bản
"5,8 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông B,82,"Nhà ngõ, hẻm",Đã có sổ,,5,18.5,2,,,
48 tỷ,Tp Hồ Chí Minh,Phường Tây Thạnh,200.2,"Nhà mặt phố, mặt tiền",Đã có sổ,,7.7,26,nhiều hơn 10,Nhiều hơn 6,,
"3,85 tỷ",Bình Dương,Phường Phú Thọ,149.8,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,7,23,2,2,1,Nội thất cao cấp
"15,75 tỷ",Đà Nẵng,Phường Hòa Khánh Bắc,175.1,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,7.3,25,3,2,2,Nội thất đầy đủ
"1,42 tỷ",Đồng Nai,Xã Bàu Trâm,100,"Nhà ngõ, hẻm",Đã có sổ,Tây,5,19.5,2,2,,
"9,2 tỷ",Tp Hồ Chí Minh,Phường Trung Mỹ Tây,164,"Nhà ngõ, hẻm",Đã có sổ,,9,18,nhiều hơn 10,,,
"5,93 tỷ",Tp Hồ Chí Minh,Phường 14,65,"Nhà ngõ, hẻm",Đã có sổ,,4.1,16,4,,4,Nội thất cao cấp
"7,2 tỷ",Hà Nội,Phường Bạch Mai,32,"Nhà ngõ, hẻm",Đã có sổ,,,,7,4,5,
340 triệu,Tây Ninh,Xã Thạnh Tây,340,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông,5,68,2,1,1,Hoàn thiện cơ bản
"4,95 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,80,"Nhà ngõ, hẻm",Đã có sổ,Đông,5,16,4,3,2,Nội thất cao cấp
"5,3 tỷ",Tp Hồ Chí Minh,Phường An Lạc,102,"Nhà ngõ, hẻm",Đã có sổ,,8,13,2,,,Nội thất đầy đủ
"5,4 tỷ",Tp Hồ Chí Minh,Phường 16,55,"Nhà ngõ, hẻm",Đã có sổ,Tây,,13,3,2,2,Nội thất cao cấp
"2,58 tỷ",Tp Hồ Chí Minh,Phường 4,15,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,3.3,5.5,2,2,2,Hoàn thiện cơ bản
"13,6 tỷ",Tp Hồ Chí Minh,Phường Linh Trung (Quận Thủ Đức cũ),110,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,3,,,
"3,95 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),108,"Nhà ngõ, hẻm",Đã có sổ,,5.7,,3,,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường Linh Xuân (Quận Thủ Đức cũ),70,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Nam,3.2,22,4,2,,
"10,15 tỷ",Bình Dương,Phường Thuận Giao,300,"Nhà mặt phố, mặt tiền",Đã có sổ,,10,30,2,2,,
"21,8 tỷ",Hà Nội,Phường Ngọc Thụy,90,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,,
"5,299 tỷ",Tp Hồ Chí Minh,Phường 16,55.8,"Nhà ngõ, hẻm",Đã có sổ,,8,7,4,3,,
9 tỷ,Hà Nội,Phường Ngọc Lâm,35,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,350,10,3,4,5,
"7,55 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),55,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,4,
545 triệu,Long An,Thị trấn Đức Hòa,20,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4,5,1,1,1,Hoàn thiện cơ bản
"4,7 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông A,48,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"1,68 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),16,"Nhà ngõ, hẻm",Đã có sổ,Bắc,3,5,2,1,2,
"4,7 tỷ",Tp Hồ Chí Minh,Phường 15,50,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,,
285 triệu,Tp Hồ Chí Minh,Xã Xuân Thới Sơn,20,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,,Nội thất đầy đủ
6 tỷ,Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,64,"Nhà ngõ, hẻm",Đã có sổ,Nam,4,16,3,2,2,Nội thất cao cấp
"7,7 tỷ",Hà Nội,Phường Khương Trung,35,"Nhà ngõ, hẻm",Đã có sổ,,,,4,4,5,Nội thất đầy đủ
"7,3 tỷ",Tp Hồ Chí Minh,Phường 13,54,"Nhà ngõ, hẻm",Đã có sổ,,,,3,2,2,Hoàn thiện cơ bản
"6,5 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,41,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4,10,4,3,3,
"5,9 tỷ",Khánh Hòa,Phường Vĩnh Hòa,64,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,16,4,4,1,Nội thất cao cấp
"5,6 tỷ",Tp Hồ Chí Minh,Phường 6,49,"Nhà ngõ, hẻm",Đã có sổ,,4,13,2,2,2,
"5,39 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,52,"Nhà ngõ, hẻm",Đã có sổ,,4,13,3,4,4,Hoàn thiện cơ bản
"3,9 tỷ",Tp Hồ Chí Minh,Phường 16,58.9,"Nhà ngõ, hẻm",Đã có sổ,Tây,3,14.24,3,3,,
4 tỷ,Tp Hồ Chí Minh,Phường Tân Tạo,48,"Nhà ngõ, hẻm",Đã có sổ,,4,12,2,2,2,
"1,75 tỷ",Tp Hồ Chí Minh,Phường 11,10,"Nhà ngõ, hẻm",Đã có sổ,,3,3,2,2,3,Nội thất đầy đủ
"2,3 tỷ",Tp Hồ Chí Minh,Xã Vĩnh Lộc A,80,Nhà biệt thự,Sổ chung / công chứng vi bằng,Nam,5,16,4,5,2,Nội thất cao cấp
"10,7 tỷ",Tp Hồ Chí Minh,Phường Phú Hữu (Quận 9 cũ),75,Nhà phố liền kề,Đã có sổ,,5,15,3,4,,
"3,46 tỷ",Tp Hồ Chí Minh,Phường Thới An,52,"Nhà ngõ, hẻm",Đã có sổ,,4,13,3,3,3,Nội thất đầy đủ
9 tỷ,Bình Dương,Xã Phú An,721,Nhà biệt thự,Đã có sổ,Tây Bắc,20,37,3,2,1,Nội thất đầy đủ
"6,7 tỷ",Tp Hồ Chí Minh,Phường Tân Tạo,128,"Nhà ngõ, hẻm",Đã có sổ,,4.8,27,7,6,2,
"9,25 tỷ",Hà Nội,Phường Quang Trung,38,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,,
5 tỷ,Tp Hồ Chí Minh,Phường 13,69,"Nhà ngõ, hẻm",Đã có sổ,,4.9,14,3,3,2,Nội thất đầy đủ
"8,75 tỷ",Hà Nội,Phường Đại Kim,46,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,4,Nội thất đầy đủ
"3,5 tỷ",Tp Hồ Chí Minh,Phường Đông Hưng Thuận,56,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4,14,2,1,,Nội thất đầy đủ
"3,68 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,60,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4,15,2,1,1,Hoàn thiện cơ bản
"6,69 tỷ",Tp Hồ Chí Minh,Phường 15,100,"Nhà ngõ, hẻm",Đã có sổ,,,,5,3,,
9 tỷ,Tp Hồ Chí Minh,Phường Phú Thuận,66,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,14,3,3,3,Nội thất cao cấp
"19,5 tỷ",Hà Nội,Phường Văn Quán,78,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.8,,6,5,5,Bàn giao thô
"1,57 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),33,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,3,11,2,1,2,
70 tỷ,Tp Hồ Chí Minh,Phường Thảo Điền (Quận 2 cũ),303,Nhà biệt thự,Đã có sổ,,,,8,,,
"7,2 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,64,"Nhà ngõ, hẻm",Đã có sổ,,4,16,5,5,3,Nội thất cao cấp
15 tỷ,Tp Hồ Chí Minh,Phường 7,80,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Nam,4,20,7,Nhiều hơn 6,6,Hoàn thiện cơ bản
"3,53 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,45,"Nhà ngõ, hẻm",Đã có sổ,,4,,2,2,2,
"4,8 tỷ",Đồng Nai,Xã Bắc Sơn,216,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,43,2,,,
"17,5 tỷ",Tp Hồ Chí Minh,Phường Phú Mỹ,95,"Nhà mặt phố, mặt tiền",Đã có sổ,Nam,6,18,4,3,2,Nội thất đầy đủ
"5,99 tỷ",Tp Hồ Chí Minh,Phường 4,41.67,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"4,1 tỷ",Tp Hồ Chí Minh,Phường 6,32,"Nhà ngõ, hẻm",Đã có sổ,,3.2,10,2,2,2,Nội thất đầy đủ
"13,9 tỷ",Hà Nội,Phường Minh Khai,45,"Nhà ngõ, hẻm",Đã có sổ,,,,3,4,5,Nội thất cao cấp
"4,5 tỷ",Tp Hồ Chí Minh,Phường 14,54,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,7,9,2,1,2,Hoàn thiện cơ bản
"1,5 tỷ",Lâm Đồng,Phường 2,490,Nhà phố liền kề,Đã có sổ,,20,20,3,2,,Bàn giao thô
13 tỷ,Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,110,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,8,,,
"3,85 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,40,"Nhà ngõ, hẻm",Đã có sổ,,4,10,2,,2,Nội thất cao cấp
"3,9 tỷ",Tp Hồ Chí Minh,Xã Quy Đức,129,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,6.3,21,2,1,,
